
 
,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
1,Alavés,es La Liga,28,27.3,48.1,38,418,3420,38.0,41,26,67,34,7,7,95,5,1.08,0.68,1.76,0.89,1.58
2,Angers,fr Ligue 1,30,26.0,41.9,34,374,3060,34.0,28,17,45,25,3,5,52,2,0.82,0.50,1.32,0.74,1.24
3,Arsenal,eng Premier League,25,26.0,56.4,38,418,3420,38.0,67,51,118,63,4,4,51,0,1.76,1.34,3.11,1.66,3.00
4,Aston Villa,eng Premier League,30,28.0,53.7,38,418,3420,38.0,53,40,93,53,0,0,58,1,1.39,1.05,2.45,1.39,2.45
5,Atalanta,it Serie A,27,26.7,55.2,38,418,3420,38.0,50,33,83,47,3,3,60,2,1.32,0.87,2.18,1.24,2.11
6,Athletic Club,es La Liga,29,27.6,48.6,38,418,3420,38.0,42,30,72,37,5,6,79,7,1.11,0.79,1.89,0.97,1.76
7,Atlético Madrid,es La Liga,36,27.2,53.4,38,418,3420,38.0,58,40,98,55,3,4,79,5,1.53,1.05,2.58,1.45,2.50
8,Augsburg,de Bundesliga,29,25.9,44.0,34,374,3060,34.0,45,27,72,41,4,6,82,1,1.32,0.79,2.12,1.21,2.00
9,Auxerre,fr Ligue 1,30,24.9,43.9,34,374,3060,34.0,30,19,49,27,3,5,69,7,0.88,0.56,1.44,0.79,1.35
10,Barcelona,es La Liga,29,24.7,68.9,38,418,3420,38.0,94,68,162,87,7,10,60,2,2.47,1.79,4.26,2.29,4.08
11,Bayern Munich,de Bundesliga,32,27.4,67.5,34,374,3060,34.0,119,91,210,108,11,12,58,2,3.50,2.68,6.18,3.18,5.85
12,Bologna,it Serie A,30,26.5,55.2,38,418,3420,38.0,47,30,77,42,5,7,67,6,1.24,0.79,2.03,1.11,1.89
13,Bournemouth,eng Premier League,26,25.0,50.1,38,418,3420,38.0,57,35,92,52,5,6,88,2,1.50,0.92,2.42,1.37,2.29
14,Brentford,eng Premier League,26,25.2,47.5,38,418,3420,38.0,53,33,86,45,8,10,69,1,1.39,0.87,2.26,1.18,2.05
15,Brest,fr Ligue 1,27,26.5,43.5,34,374,3060,34.0,42,30,72,36,6,8,58,5,1.24,0.88,2.12,1.06,1.94
16,Brighton,eng Premier League,28,26.1,53.9,38,418,3420,38.0,51,33,84,48,3,5,86,0,1.34,0.87,2.21,1.26,2.13
17,Burnley,eng Premier League,28,27.0,42.5,38,418,3420,38.0,35,27,62,33,2,2,66,3,0.92,0.71,1.63,0.87,1.58
18,Cagliari,it Serie A,31,24.8,45.6,38,418,3420,38.0,40,30,70,38,2,2,81,2,1.05,0.79,1.84,1.00,1.79
19,Celta Vigo,es La Liga,31,26.0,50.4,38,418,3420,38.0,52,36,88,44,8,8,73,1,1.37,0.95,2.32,1.16,2.11
20,Chelsea,eng Premier League,30,24.1,57.7,38,418,3420,38.0,57,39,96,50,7,8,98,8,1.50,1.03,2.53,1.32,2.34
21,Como,it Serie A,24,25.4,61.6,38,418,3420,38.0,64,47,111,59,5,8,81,3,1.68,1.24,2.92,1.55,2.79
22,Cremonese,it Serie A,32,28.1,46.6,38,418,3420,38.0,32,22,54,28,4,4,73,6,0.84,0.58,1.42,0.74,1.32
23,Crystal Palace,eng Premier League,30,26.2,45.9,38,418,3420,38.0,40,23,63,32,8,8,76,2,1.05,0.61,1.66,0.84,1.45
24,Dortmund,de Bundesliga,27,26.2,53.3,34,374,3060,34.0,69,51,120,63,6,9,63,2,2.03,1.50,3.53,1.85,3.35
25,Elche,es La Liga,32,26.8,57.7,38,418,3420,38.0,47,33,80,43,4,5,81,6,1.24,0.87,2.11,1.13,2.00
26,Espanyol,es La Liga,25,27.4,42.4,38,418,3420,38.0,42,29,71,39,3,5,91,5,1.11,0.76,1.87,1.03,1.79
27,Everton,eng Premier League,22,27.3,43.8,38,418,3420,38.0,45,34,79,43,2,2,74,4,1.18,0.89,2.08,1.13,2.03
28,Fiorentina,it Serie A,34,26.8,51.1,38,418,3420,38.0,40,23,63,34,6,6,82,3,1.05,0.61,1.66,0.89,1.50
29,Frankfurt,de Bundesliga,29,24.8,55.0,34,374,3060,34.0,61,42,103,55,6,6,62,4,1.79,1.24,3.03,1.62,2.85
