
 
,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,
Rk,Squad,Comp,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec
1,Alavés,es La Liga,28,48.1,38.0,,,,,,,,,,,,,,,,,,,,
2,Angers,fr Ligue 1,30,41.9,34.0,,,,,,,,,,,,,,,,,,,,
3,Arsenal,eng Premier League,25,56.4,38.0,,,,,,,,,,,,,,,,,,,,
4,Aston Villa,eng Premier League,30,53.7,38.0,,,,,,,,,,,,,,,,,,,,
5,Atalanta,it Serie A,27,55.2,38.0,,,,,,,,,,,,,,,,,,,,
6,Athletic Club,es La Liga,29,48.6,38.0,,,,,,,,,,,,,,,,,,,,
7,Atlético Madrid,es La Liga,36,53.4,38.0,,,,,,,,,,,,,,,,,,,,
8,Augsburg,de Bundesliga,29,44.0,34.0,,,,,,,,,,,,,,,,,,,,
9,Auxerre,fr Ligue 1,30,43.9,34.0,,,,,,,,,,,,,,,,,,,,
10,Barcelona,es La Liga,29,68.9,38.0,,,,,,,,,,,,,,,,,,,,
11,Bayern Munich,de Bundesliga,32,67.5,34.0,,,,,,,,,,,,,,,,,,,,
12,Bologna,it Serie A,30,55.2,38.0,,,,,,,,,,,,,,,,,,,,
13,Bournemouth,eng Premier League,26,50.1,38.0,,,,,,,,,,,,,,,,,,,,
14,Brentford,eng Premier League,26,47.5,38.0,,,,,,,,,,,,,,,,,,,,
15,Brest,fr Ligue 1,27,43.5,34.0,,,,,,,,,,,,,,,,,,,,
16,Brighton,eng Premier League,28,53.9,38.0,,,,,,,,,,,,,,,,,,,,
17,Burnley,eng Premier League,28,42.5,38.0,,,,,,,,,,,,,,,,,,,,
